rank,team,points,confederation,code,fifa_name,ranking_date
192.0,Aruba,861.16,CONCACAF,ARU,Aruba,2025-09-18
193.0,Djibouti,855.91,CAF,DJI,Djibouti,2025-09-18
194.0,Timor-Leste,855.36,AFC,TLS,Timor-Leste,2025-09-18
195.0,São Tomé and Príncipe,854.76,CAF,STP,São Tomé and Príncipe,2025-09-18
196.0,Cayman Islands,853.37,CONCACAF,CAY,Cayman Islands,2025-09-18
197.0,Sri Lanka,852.3,AFC,SRI,Sri Lanka,2025-09-18
198.0,Tonga,835.64,OFC,TGA,Tonga,2025-09-18
199.0,Pakistan,829.41,AFC,PAK,Pakistan,2025-09-18
200.0,Gibraltar,827.19,UEFA,GIB,Gibraltar,2025-09-18
201.0,Somalia,824.76,CAF,SOM,Somalia,2025-09-18
202.0,Guam,823.08,AFC,GUM,Guam,2025-09-18
203.0,Seychelles,812.32,CAF,SEY,Seychelles,2025-09-18
204.0,Liechtenstein,808.48,UEFA,LIE,Liechtenstein,2025-09-18
205.0,Bahamas,807.36,CONCACAF,BAH,Bahamas,2025-09-18
206.0,Turks and Caicos Islands,803.98,CONCACAF,TCA,Turks and Caicos Islands,2025-09-18
207.0,United States Virgin Islands,779.71,CONCACAF,VIR,US Virgin Islands,2025-09-18
208.0,British Virgin Islands,768.5,CONCACAF,VGB,British Virgin Islands,2025-09-18
209.0,Anguilla,758.52,CONCACAF,AIA,Anguilla,2025-09-18
210.0,San Marino,733.23,UEFA,SMR,San Marino,2025-09-18
,Eritrea,855.56,CAF,ERI,Eritrea,2025-09-18
