date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-10,Portugal,Nigeria,2,1,Friendly,,,True
2026-06-10,England,Costa Rica,3,0,Friendly,,,True
2026-06-10,Bolivia,Algeria,0,4,Friendly,,,True
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,,,True
2026-06-11,South Korea,Czech Republic,2,1,FIFA World Cup,,,True
2026-06-11,South Korea,Czech Republic,2,1,FIFA World Cup,,,True
